Date,Open,High,Low,Close,Adj Close,Volume
2023-10-05,15.654866,15.781417,15.456499,15.456619,15.456619,87112236
2023-10-06,15.454824,15.830816,15.440383,15.729506,15.729506,79309320
2023-10-07,15.729088,15.765622,15.572459,15.652796,15.652796,61436403
2023-10-08,15.652931,15.699754,15.420738,15.507917,15.507917,52286969
2023-10-09,15.507730,15.507730,14.817219,15.038891,15.038891,83609010
2023-10-10,15.038522,15.139570,14.850307,14.952602,14.952602,57250183
2023-10-11,14.952675,14.961291,14.714786,14.928510,14.928510,62288480
2023-10-12,14.929107,15.019625,14.721068,14.773999,14.773999,71885800
2023-10-13,14.774140,14.951994,14.716748,14.844541,14.844541,58882802
2023-10-14,14.845235,15.015082,14.839663,15.001739,15.001739,38864506
2023-10-15,15.001175,15.049348,14.882525,14.940232,14.940232,46060696
2023-10-16,14.939809,15.716015,14.938680,15.262339,15.262339,115123412
2023-10-17,15.261697,15.261697,14.869696,14.962552,14.962552,85201974
2023-10-18,14.961725,15.048923,14.807581,14.830520,14.830520,71275877
2023-10-19,14.830747,14.858016,14.667469,14.811905,14.811905,65610813
2023-10-20,14.811933,15.484686,14.763700,15.301395,15.301395,92640126
2023-10-21,15.300901,15.792649,15.272941,15.736008,15.736008,85309440
2023-10-22,15.736344,15.859190,15.400098,15.832367,15.832367,76986349
2023-10-23,15.860290,16.710079,15.725376,16.611437,16.611437,178926983
2023-10-24,16.611523,17.239599,16.221674,16.453541,16.453541,255999831
2023-10-25,16.456743,16.748835,16.234867,16.390762,16.390762,156451809
2023-10-26,16.391113,17.101124,16.165476,16.574284,16.574284,246941547
2023-10-27,16.574205,16.574913,15.933294,16.083078,16.083078,139826534
2023-10-28,16.082256,16.372780,16.057858,16.234375,16.234375,101169603
2023-10-29,16.234129,16.694290,16.094112,16.659636,16.659636,101780542
2023-10-30,16.658049,16.897282,16.339176,16.788202,16.788202,146964245
2023-10-31,16.787735,17.703300,16.566854,17.467875,17.467875,316837547
2023-11-01,17.470640,17.969608,17.089451,17.779638,17.779638,282733068
2023-11-02,17.780106,17.940418,16.986769,17.299013,17.299013,207034506
2023-11-03,17.299397,17.305222,16.780142,17.257347,17.257347,175494960
2023-11-04,17.258232,17.575361,17.160975,17.507172,17.507172,90516996
2023-11-05,17.506893,18.227261,17.425583,18.013462,18.013462,199413349
2023-11-06,18.012728,18.798208,17.739235,18.505444,18.505444,219291457
2023-11-07,18.507385,18.516863,17.581825,18.137945,18.137945,140040965
2023-11-08,18.138683,18.436510,18.038073,18.369200,18.369200,141189284
2023-11-09,18.366018,20.622894,18.270157,20.622894,20.622894,699714007
2023-11-10,20.622849,21.751251,20.285212,20.782042,20.782042,652543799
2023-11-11,20.780401,20.791595,19.602013,20.041468,20.041468,290524179
2023-11-12,20.043524,20.329580,19.356592,20.035318,20.035318,213838113
2023-11-13,20.036989,21.068628,19.650930,20.044626,20.044626,364225555
2023-11-14,20.041166,20.149099,18.663031,19.079735,19.079735,254373129
2023-11-15,19.080301,19.880526,18.826986,19.880526,19.880526,211183093
2023-11-16,19.882294,20.537125,19.000158,19.293484,19.293484,334380912
2023-11-17,19.291037,19.681108,18.528378,19.363716,19.363716,230551001
2023-11-18,19.362398,19.379204,18.529779,19.215057,19.215057,148865570
2023-11-19,19.214470,19.618500,18.919119,19.615450,19.615450,108421552
2023-11-20,19.615732,19.941044,19.356985,19.454239,19.454239,159457866
2023-11-21,19.453802,19.608154,17.969675,18.153027,18.153027,209997243
2023-11-22,18.149824,19.290510,18.102819,19.008965,19.008965,166675928
2023-11-23,19.009371,19.175396,18.743010,18.919369,18.919369,112303390
2023-11-24,18.918982,19.504093,18.882868,19.207676,19.207676,146934078
2023-11-25,19.207134,19.502951,19.175837,19.435240,19.435240,104702459
2023-11-26,19.435232,19.544296,18.810343,19.115627,19.115627,147354691
2023-11-27,19.113235,19.181026,18.239100,18.564442,18.564442,174492983
2023-11-28,18.564608,18.992754,18.228912,18.838690,18.838690,160019303
2023-11-29,18.839432,19.039408,18.583437,18.735790,18.735790,153470499
2023-11-30,18.736534,18.807875,18.513241,18.640305,18.640305,239514391
2023-12-01,18.641226,19.090721,18.559752,18.972383,18.972383,131315122
2023-12-02,18.971310,19.648548,18.962776,19.600574,19.600574,127973015
2023-12-03,19.600180,19.965570,19.433655,19.820890,19.820890,193962209
2023-12-04,19.820229,20.370184,19.579067,19.948772,19.948772,320803112
2023-12-05,19.950968,20.419069,19.423819,20.261206,20.261206,311832176
2023-12-06,20.262852,20.748816,19.932428,20.258884,20.258884,390528737
2023-12-07,20.263060,22.204857,20.263060,21.969517,21.969517,556633646
2023-12-08,21.969526,22.592129,21.793415,22.257908,22.257908,310134328
2023-12-09,22.258671,23.271467,21.978310,22.065554,22.065554,375657175
2023-12-10,22.065996,22.449087,21.520189,21.951166,21.951166,226915871
2023-12-11,21.952461,21.999279,19.509741,20.148258,20.148258,384504880
2023-12-12,20.147879,20.534117,19.898697,20.315989,20.315989,202030314
2023-12-13,20.313080,20.878164,19.527802,20.738445,20.738445,192771356
2023-12-14,20.738592,20.969290,20.295927,20.883959,20.883959,209343194
2023-12-15,20.884024,20.888741,19.881111,19.921867,19.921867,152466359
2023-12-16,19.922880,20.745743,19.811174,20.726999,20.726999,152079671
2023-12-17,20.726875,20.726875,19.917160,19.990297,19.990297,146605293
2023-12-18,19.986761,20.046701,18.918707,19.896391,19.896391,192709536
2023-12-19,19.897596,20.139690,19.460905,19.650387,19.650387,133500538
2023-12-20,19.650265,20.508032,19.643986,20.167578,20.167578,165865192
2023-12-21,20.167694,20.845688,20.011314,20.650764,20.650764,161158100
2023-12-22,20.650263,22.087067,20.611385,21.916395,21.916395,452865387
2023-12-23,21.916555,22.101599,21.141411,21.485302,21.485302,203998249
2023-12-24,21.484097,21.655115,20.712152,20.876226,20.876226,200481891
2023-12-25,20.875265,21.631092,20.704498,21.470182,21.470182,182146996
2023-12-26,21.470036,21.470036,20.213503,20.823652,20.823652,228053755
2023-12-27,20.823887,22.693478,20.371296,22.690660,22.690660,363920203
2023-12-28,22.693718,24.198944,22.127615,22.497866,22.497866,681559681
2023-12-29,22.496408,23.334885,21.968239,22.459976,22.459976,481680130
2023-12-30,22.467016,23.175009,22.199329,22.278959,22.278959,260320118
2023-12-31,22.276443,22.421062,21.692768,21.908712,21.908712,177735070
2024-01-01,21.910362,22.500179,21.536385,22.500179,22.500179,177075162
2024-01-02,22.502632,23.008404,21.981787,22.001184,22.001184,250417181
2024-01-03,22.000816,22.409204,19.483999,20.031158,20.031158,387454680
2024-01-04,20.032539,20.686432,19.887676,20.501585,20.501585,208865143
2024-01-05,20.501404,20.605591,19.474167,20.122894,20.122894,203060517
2024-01-06,20.123863,20.221842,19.383278,19.882305,19.882305,169594311
2024-01-07,19.882528,20.031467,19.094204,19.235271,19.235271,122322213
2024-01-08,19.237886,20.418844,18.504581,20.332895,20.332895,237158856
2024-01-09,20.334904,21.187775,19.621248,21.187775,21.187775,365999857
2024-01-10,21.189011,26.305250,20.493765,26.218678,26.218678,1077458957
2024-01-11,26.245953,31.993589,25.966953,29.509329,29.509329,2717342240
2024-01-12,29.542147,32.361862,27.844999,29.024063,29.024063,1783811837
2024-01-13,29.004517,29.969398,27.977493,28.589973,28.589973,782197638
2024-01-14,28.591091,28.591843,26.262403,26.449030,26.449030,568914756
2024-01-15,26.452538,27.757612,26.139803,26.755678,26.755678,546658912
2024-01-16,26.744028,27.691280,26.202587,27.316952,27.316952,502696374
2024-01-17,27.313871,27.382093,25.758780,26.157564,26.157564,346535995
2024-01-18,26.158743,26.162367,24.187925,24.413349,24.413349,408342604
2024-01-19,24.413849,25.428017,23.018644,25.341202,25.341202,457621525
2024-01-20,25.341141,25.341141,24.199787,24.688250,24.688250,262139208
2024-01-21,24.686920,25.350554,24.482134,24.482134,24.482134,217488400
2024-01-22,24.488468,24.589729,22.824223,22.884027,22.884027,333833046
2024-01-23,22.883272,23.783840,21.823757,23.084990,23.084990,369037644
2024-01-24,23.085358,23.395567,22.562054,22.982058,22.982058,229798413
2024-01-25,22.983198,23.501520,22.248205,23.240587,23.240587,258590878
2024-01-26,23.239653,24.069883,22.917213,23.905046,23.905046,254117420
2024-01-27,23.903151,24.526953,23.828636,24.010351,24.010351,198903936
2024-01-28,24.011267,24.404169,23.396549,23.495054,23.495054,191727243
2024-01-29,23.494486,24.848490,23.080759,24.697580,24.697580,211970154
2024-01-30,24.697580,26.209244,24.524572,25.340477,25.340477,410938069
2024-01-31,25.335743,25.781912,24.240715,24.361816,24.361816,371706810
2024-02-01,24.360397,24.895369,23.565916,24.407036,24.407036,262317913
2024-02-02,24.406675,25.353674,24.362228,25.087465,25.087465,211323379
