Date,Open,High,Low,Close,Adj Close,Volume,ticker
2022-12-04,9e-06,9e-06,9e-06,9e-06,9e-06,83894725,SHIB-USD
2022-12-05,9e-06,1e-05,9e-06,9e-06,9e-06,249923175,SHIB-USD
2022-12-06,9e-06,9e-06,9e-06,9e-06,9e-06,99064720,SHIB-USD
2022-12-07,9e-06,9e-06,9e-06,9e-06,9e-06,110036104,SHIB-USD
2022-12-08,9e-06,9e-06,9e-06,9e-06,9e-06,92223159,SHIB-USD
2022-12-09,9e-06,9e-06,9e-06,9e-06,9e-06,80300419,SHIB-USD
2022-12-10,9e-06,9e-06,9e-06,9e-06,9e-06,58053490,SHIB-USD
2022-12-11,9e-06,9e-06,9e-06,9e-06,9e-06,73963284,SHIB-USD
2022-12-12,9e-06,9e-06,9e-06,9e-06,9e-06,146037825,SHIB-USD
2022-12-13,9e-06,9e-06,9e-06,9e-06,9e-06,172383732,SHIB-USD
2022-12-14,9e-06,9e-06,9e-06,9e-06,9e-06,105628211,SHIB-USD
2022-12-15,9e-06,9e-06,9e-06,9e-06,9e-06,95057599,SHIB-USD
2022-12-16,9e-06,9e-06,8e-06,8e-06,8e-06,163155373,SHIB-USD
2022-12-17,8e-06,8e-06,8e-06,8e-06,8e-06,133002793,SHIB-USD
2022-12-18,8e-06,9e-06,8e-06,9e-06,9e-06,249478668,SHIB-USD
2022-12-19,9e-06,9e-06,8e-06,8e-06,8e-06,201119488,SHIB-USD
2022-12-20,8e-06,8e-06,8e-06,8e-06,8e-06,110917856,SHIB-USD
2022-12-21,8e-06,8e-06,8e-06,8e-06,8e-06,87255813,SHIB-USD
2022-12-22,8e-06,8e-06,8e-06,8e-06,8e-06,92821341,SHIB-USD
2022-12-23,8e-06,8e-06,8e-06,8e-06,8e-06,78741855,SHIB-USD
2022-12-24,8e-06,8e-06,8e-06,8e-06,8e-06,44533809,SHIB-USD
2022-12-25,8e-06,8e-06,8e-06,8e-06,8e-06,59394204,SHIB-USD
